term,Topic,Freq,Term
4697,1,0.29941873895988097,선언
962,1,0.5466860481148252,강진
2667,1,0.07447189762763892,대표
4950,1,0.2091729301559799,손학규
7448,1,0.22333000199105946,정계복귀
7447,1,0.43984324373484235,정계
6566,1,0.6032255155046196,은퇴
3849,1,0.8400636954191697,백련사
7307,1,0.19221298650766472,전남
1718,1,0.05950284233695704,국회
8784,1,0.7206735789632812,토담집
4013,1,0.25046349925616573,복귀
3142,1,0.900533928703988,만덕산
3591,1,0.11001246056382578,민주당
9188,1,0.6868086523429697,하산
714,1,0.16218488826389899,80
6170,1,0.025071054990190564,오후
1312,1,0.16502163964424635,고문
2206,1,0.602800371775808,낙선
7465,1,0.13857750660887597,정론관에서
3955,1,0.5876861724196182,보궐선거
2627,1,0.9512219231462609,대선경쟁
5706,1,0.3235832339414777,야권
553,1,0.24618260635107503,4시
396,1,0.5165468955592996,2년여간
301,1,0.08400913664517964,2014년
9658,1,0.6186654028758839,회견장
1598,1,0.5169613491458663,구도
3685,1,0.5129954497490437,박철
6017,1,0.016254658482084367,연합뉴스
6658,1,0.028393138238700016,이날
6808,1,0.06602706476796613,인근
2430,1,0.012354924871874357,뉴스1
7535,1,0.2828788121014113,정치권
6153,1,0.020092844218686207,오전
719,1,0.3010116380722576,81
94,1,0.3109869021456897,120
1991,1,0.06123465711307637,기자회견
5036,1,0.1389024810152376,수원
337,1,0.009448554715720009,20일
304,1,0.005352524174666613,2016
8591,1,0.3278034437447658,칩거
4599,1,0.09764227705844457,생활
4531,1,0.11119399506723324,상임고문
2968,1,0.6112899251053112,떠나고
2694,1,0.038145080159840895,더불어민주당
1189,1,0.02677777963938225,경기
3155,1,0.06342854484922425,만에
6755,1,0.06101459634129043,이정
3935,1,0.06683330506318927,변화
8861,2,0.9351096969329186,트와이스
3528,2,0.39129009053729713,뮤직비디오
5150,2,0.7594617506524849,스트리밍
2418,2,0.19369863568763576,누적
826,2,0.8144323698728972,가온차트
261,2,0.10667686737884949,1위
6055,2,0.028613449241122125,영상
8892,2,0.38664031364543666,티저
267,2,0.411837917830737,1주년
3535,2,0.5517097516442602,미니앨범
1387,2,0.03167203235164238,공개
2705,2,0.0687064048556268,데뷔
2197,2,0.3283835609544165,나인뮤지스
1095,2,0.0719116195005766,걸그룹
8639,2,0.14110581981408796,컴백
1938,2,0.03547900774494922,기록
305,2,0.05366314097119849,2016년
6527,2,0.16202368971152106,유튜브
3765,2,0.028040956664721388,발표
364,2,0.054771855300137486,24일
9341,2,0.3736063635235559,합성
5132,2,0.4353837413869232,스타제국
6190,2,0.018967948955745103,올해
6573,2,0.2938050796159363,음란
8959,2,0.05424912494453321,팬들
8720,2,0.1976987478952254,타이틀
2882,2,0.2138033239519206,두번째
7687,2,0.5023633990160412,조회수
2327,2,0.04607891985550589,네이버
258,2,1.0,1억뷰
6199,2,0.5209620605425328,와일드
2706,2,0.595630137375468,데뷔곡
3873,2,0.0448647110250013,번째
5697,2,0.045997993887643515,앨범
6297,2,0.30929491394174713,우아
6528,2,0.15187153489525165,유포
8564,2,0.27292130990763064,치어
5531,2,0.11309261419491705,아이돌
4885,2,0.06106149340873699,소속사
9644,2,0.016894161681823384,활동
257,2,0.07101128672430167,1억
9635,2,0.22747107496979158,환상
4418,2,0.004317625771596312,사진
21,2,0.13503217007417087,0시
6117,2,0.00863385408325363,예정
6655,2,0.46974760631208007,이기적
337,2,0.0033451095158322764,20일
6588,2,0.22372168571369003,음원사이트
8721,2,0.08859890025057554,타이틀곡
5288,2,0.06013913311824992,신곡
1562,3,0.37138748247348874,교수
5955,3,0.30115327176333706,연구
6508,3,0.8318809380715266,유전자
3654,3,0.45046202407647357,박사
5962,3,0.7888241239498961,연구진
6817,3,0.6453564674100993,인류
5656,3,0.5481752745257223,알코올
5963,3,0.7028440569072373,연구팀
2817,3,0.28133204318328514,동물
3732,3,0.09927999326777003,발견
1157,3,0.06349048885442381,결과
3765,3,0.055843540088428484,발표
9365,3,0.8652685210937586,해독
1121,3,0.023518401075356955,것으로
6050,3,0.12775822973087564,영국
6798,3,0.22189243730211694,인간
4170,3,0.08526924861996972,분석
2329,3,0.9812017147381317,네이처
9624,3,0.04728797119307889,확인
2373,3,0.4974730242041719,논문
4835,3,0.6378927924520083,세포
6701,3,0.023935249610214253,이번
1809,3,0.06906277565777721,그룹
5714,3,0.6265027937233837,약물
5409,3,0.3132051551038313,실험
1757,3,0.7763445707406459,권태
993,3,0.0468392031052723,개발
6960,3,0.3362721165490892,임신
9409,3,0.19190118138002055,행동
2718,3,0.41165818527118314,도구
4235,3,0.21943180250394384,브라질
1410,3,0.6370169546701414,공동연구
9689,3,0.09935381312074892,효과
5957,3,0.5426989667900703,연구결과
3530,3,0.023532718369677616,미국
2351,3,0.5707167362663512,노벨상
9504,3,0.7008397269005197,혈관
8054,3,0.25352701397897326,질병
4383,3,0.034116158110406136,사용
7204,3,0.008870943581774787,재배포
1890,3,0.008792880512150183,금지
3424,3,0.008609012313533384,무단
5275,3,0.44187117862396524,식물
8048,3,0.01483579990285056,진행
2349,3,0.5566476054456109,노벨
6283,3,0.023327706831693856,우리
6365,3,0.5445324606419059,원숭이
1487,3,0.13510392293151235,과학
9241,3,0.020434102208735243,한국
1985,3,0.006370653523363824,기자
200,4,0.8887458134768343,19
304,4,0.26761303753332244,2016
19,4,0.6530430625195891,08
302,4,0.42015511884326295,2015
355,4,0.15828045494266368,23
1955,4,0.06987772959005915,기사
163,4,0.15017366127495146,16
6017,4,0.021688131916329834,연합뉴스
570,4,0.1417391482543521,500
112,4,0.05313737709114388,13
306,4,0.013589136505368082,2017
640,4,0.2176399556240075,600
356,4,0.42053435537267686,230
748,4,0.07846911742082902,90
349,4,0.03478781616047666,22
219,4,0.059918001048219365,199
386,4,0.05188966997004596,29
20,4,0.059233885512498016,09
129,4,0.027120191129864298,14
593,4,0.04719625184079422,52
17,4,0.061974766893872525,06
360,4,0.020565301071092293,24
686,4,0.06387034649077655,72
296,4,0.018001259156235988,201
207,4,0.177815853689896,1950
378,4,0.02337062205522647,27
452,4,0.031402889917430274,34
597,4,0.04715124890550853,53
174,4,0.023908880331097428,17
13,4,0.06865729530895344,04
74,4,0.018866274924276283,11
714,4,0.012661140738923502,80
144,4,0.011715154782692092,15
189,4,0.22270940370695907,182
93,4,0.012678474190700171,12
374,4,0.013674460029798191,26
208,4,0.06683500378646284,196
191,4,0.13035340359622746,186
6,4,0.01478183930799257,01
187,4,0.028820506805499448,180
205,4,0.07596753128596584,194
461,4,0.019747196113381892,37
321,4,0.03580292378778725,204
725,4,0.012476175848393651,85
599,4,0.015086323646064865,55
47,4,0.03641890879929488,108
526,4,0.008464894292953645,43
1257,4,0.005724835939605269,경향신문
383,4,0.009540257645555151,28
276,4,0.005316766633651849,200
6646,5,0.43216202138122467,의혹
7195,5,0.8139460361183096,재단
2663,5,0.2503734718257184,대통령
1112,5,0.31961656802437705,검찰
5002,5,0.3133526162367795,수사
4724,5,0.3796249361758892,설립
8393,5,0.35785472869826407,최순실
3546,5,0.7308109294701902,미르
5168,5,0.6815307355536271,스포츠재단
1511,5,0.08795314195236646,관련
8398,5,0.5831767060340957,최씨
8279,5,0.18395863493481648,청와대
3640,5,0.1969464862984734,박근혜
5163,5,0.2783648960149208,스포츠
5819,5,0.6697181280197348,엄정
2767,5,0.25270961735771497,독일
1974,5,0.29693945882381384,기업들
2371,5,0.14919245522723829,논란
9618,5,0.22329935840192186,확산
2696,5,0.8858481959006503,더블루케이
7566,5,0.16292285364011433,제기
8395,5,0.36852691462578446,최순실씨
4203,5,0.7117215029592697,불법행위
3547,5,0.7187689780128398,미르재단
1483,5,0.09514788935435153,과정
7637,5,0.054837809160600895,조사
3480,5,0.09605419649678693,문화
8222,5,0.669693678937803,처벌받
1121,5,0.02606314548086842,것으로
7033,5,0.199062922243706,자금
2412,5,0.8683012658792566,누구라
1314,5,0.30028114687591245,고발
3476,5,0.5464175595708027,문체부
5384,5,0.4493734688043755,실세
9422,5,0.7455543708804279,행장
1015,5,0.35208697544072226,개입
7196,5,0.947215369544427,재단들
4367,5,0.06657859714648744,사실
8826,5,0.6595750274737956,퇴임
4280,5,0.4154698102263927,비선
9666,5,0.07775503624261532,회사
6499,5,0.27485928286542305,유용
7293,5,0.31579132263096965,전경련
6671,5,0.03537354971063817,이라고
1136,5,0.394523723032338,게이트
4266,5,0.29698025566814545,비리
5708,5,0.16797344878887926,야당
2681,5,0.022565456254440664,대한
1972,5,0.03779891697003629,기업
9624,5,0.043987158686640826,확인
1257,6,0.26816916222303666,경향신문
1688,6,0.2170337733445716,국민의당
4274,6,0.449091454147132,비상대책위원장
3679,6,0.35335614840765467,박지원
1718,6,0.05349476560482129,국회
6348,6,0.3417811110403597,원내
4046,6,0.5139619536167152,본청
6017,6,0.014685710057731154,연합뉴스
6153,6,0.01759125576753985,오전
6634,6,0.10211093024834542,의원들
4627,6,0.006201409605401612,서울
1985,6,0.006438172085883544,기자
304,6,0.0039854444528766506,2016
337,6,0.006896478074813238,20일
6350,6,0.041564605993708766,원내대표
5903,6,0.3876202856880724,여성리더십
4532,6,0.5462598070466149,상임대표
4949,6,0.39694082133246844,손질
3753,6,0.034098838378122526,발언
5609,6,0.1642761682545722,안철수
5753,6,0.05457580061650135,얘기
5548,6,0.162740218456173,아카데미
5287,6,0.03339783120239484,신고
2736,6,0.096887264300552,도서관
6353,6,0.10053689647226685,원내수석부대표
7521,6,0.05491769848357742,정진석
1499,6,0.06292566320400668,관계자들
6170,6,0.00608405357920752,오후
1890,6,0.004011688830045326,금지
6318,6,0.038276433105179614,운영위원회
7204,6,0.003979242687896539,재배포
4562,6,0.016772217089515134,새누리당
1655,6,0.06677861013665948,국가인권위원회
3424,6,0.0037894739428604015,무단
1703,6,0.027769991829277037,국정감사
8161,6,0.004847709479959564,참석
6289,6,0.035283993963322956,우상호
6317,6,0.10922352906762141,운영위원장
1253,6,0.1319020567821347,경청
4265,6,0.012205818926353928,비롯
949,6,0.03201080404272333,강연
2681,6,0.003777665226753826,대한
6135,6,0.02028336234613387,오른쪽
2694,6,0.008198167289017401,더불어민주당
0,6,0.03128040421773855,00
3901,6,0.21189456616732122,법칙
6247,6,0.010060082285243402,왼쪽
2158,6,0.023287791870793682,나누고
5708,6,0.01989773181720576,야당
6351,6,0.0396800806761655,원내대표단
2233,7,0.9859613866135184,남대문시장
8863,7,0.7141892365248496,특가
9291,7,0.5347736506047913,한복
8967,7,0.815285900439373,페스타
4826,7,0.7068544467493132,세일
2434,7,0.01582806835194974,뉴시스
9416,7,0.04194093367803652,행사
2232,7,0.7698601623188316,남대문
5497,7,0.8727360309489123,아동복
4530,7,0.7693419462332248,상인회
8653,7,0.11649638252157037,코리아
5243,7,0.03208817492425533,시장
7818,7,0.04285939675228407,중구
304,7,0.004932208596232487,2016
348,7,0.04474158457889247,21일
1851,7,0.03738291948170463,글로벌
4627,7,0.006951606324570716,서울
4418,7,0.009929345055894908,사진
8164,7,0.028028404732731393,참여
7575,7,0.018593716820258194,제보
8014,7,0.040229190251965107,직접
6055,7,0.01611861723378091,영상
1385,7,0.016594620206935275,공감
3479,7,0.2641265428141091,문호
6701,7,0.012387487730495876,이번
8048,7,0.010368028447043539,진행
4973,7,0.11680785690674453,쇼핑
1503,7,0.1504488251812197,관광객들
9417,7,0.13509972098724013,행사장
6865,7,0.05586349420720025,인턴기자
1909,7,0.030747615506356848,기간
